rank,team,conference,record,adj_o,adj_o_rank,adj_d,adj_d_rank,barthag,barthag_rank,efg_pct,efg_pct_d,to_pct,to_pct_d,conf_record,sos,raw_o,raw_d,adj_o_no_opp,adj_d_no_opp,off_ftrate,def_ftrate,adj_tempo,est_ppg,est_opp_ppg,est_total,wins,losses,games
11,Alabama,SEC,7-2,126.49584584550837,2,99.05345377692495,39,0.9433381150516801,11,22.627125336699038,8.372874663300966,12.423533382861363,5.57646661713864,0-0,0.6906124234215478,113.71288153921992,102.17513156525068,116.38574616442534,101.22285676373528,131.65156188668962,102.83177008217858,74.32759863721893,94.02132459280463,73.62405355961594,167.64537815242056,7,2,9
12,Purdue,B10,8-1,125.57826651519792,3,98.69990537640075,37,0.9410174452925508,12,23.240038922273243,7.759961077726761,13.667107308249648,6.332892691750354,1-0,0.6374030307069276,112.61128385970041,104.56755830745212,115.68937669323122,101.43554132245504,127.1313976337865,94.63254531527828,65.61803422523087,82.40198990139422,64.76493769015713,147.16692759155134,8,1,9
13,Louisville,ACC,8-1,124.04443367007713,5,97.58955072022445,22,0.9403915079747509,13,23.923590840974338,7.076409159025665,12.895900447541939,5.104099552458059,0-0,0.5078163392022623,106.14122177270308,105.00551399682229,112.24245086171224,101.672679162657,129.40148868993165,100.43706030888744,71.8584810929997,89.13644591573093,70.12636885303583,159.26281476876676,8,1,9
14,St. John's,BE,5-3,120.9936029774696,15,95.78317632076451,13,0.9362541044842643,14,22.96521524609877,8.03478475390123,15.395595580362478,4.6044044196375244,0-0,0.6932364477730266,113.85059557621396,103.21382915820497,113.42257740253712,102.54018439245567,129.00487626272178,104.82036610106768,71.89041672817525,86.98280539493678,68.85892461248048,155.84173000741725,5,3,8
15,Kansas,B12,7-3,116.600177941607,48,92.9736659066414,5,0.9311183679726859,15,21.233050264428954,9.766949735571048,11.752615417929944,6.2473845820700555,0-0,0.6939186035579499,112.48272977959714,101.16050073690023,114.7571319578222,100.53611837388765,118.7765699646699,98.55092508227342,66.77689266706682,77.86197567367583,62.084925091115224,139.94690076479105,7,3,10
16,Florida,SEC,5-4,118.40115238109198,33,94.4630261778795,10,0.9307007994476244,16,20.497557910299353,10.502442089700647,11.793941272108398,6.206058727891603,0-0,0.6979954385939836,113.23906635594126,101.6232744671822,115.0437629726308,102.08252815635838,118.90659274914108,95.30597430372681,71.12819452481193,84.2166019852421,67.18984501382614,151.40644699906824,5,4,9
17,BYU,B12,8-1,122.32683885253095,9,97.6368679198587,23,0.9303821863966291,17,23.862772332843434,7.137227667156573,11.982429430627096,6.017570569372902,0-0,0.6903274368396785,112.39809383600553,102.54970585492185,113.39529641682763,101.80726416140246,120.02769760284227,93.33382647614003,68.94598271441264,84.3394411703534,67.31669807891969,151.65613924927308,8,1,9
18,Tennessee,SEC,7-3,118.86183740207844,29,95.30257496184018,12,0.9269264006073568,18,20.536489242202194,10.463510757797803,10.95119815333704,7.048801846662957,0-0,0.5559668471780468,109.34186946656685,104.68090447890613,114.51981603908628,102.60586902086531,121.09211174870126,100.51403511799424,67.97514645549064,80.79650805374997,64.78206490616462,145.5785729599146,7,3,10
19,Indiana,B10,8-2,119.9427051333571,21,96.59060017748055,17,0.9234467478690705,19,21.196526987710254,9.803473012289754,11.836513860137938,8.163486139862066,1-1,0.5126575511990488,108.99704224610059,107.66866510450002,113.90065763493351,102.53401489471594,111.38343891316758,104.52685710257826,69.48288160897523,83.33964780641277,67.11393236671744,150.4535801731302,8,2,10
20,Arkansas,SEC,7-2,119.19473425737239,26,96.83374810610408,18,0.9160057717308252,20,20.796263029377688,10.203736970622314,10.936702490303723,7.0632975096962785,0-0,0.5300872772985937,109.01697992410192,104.71836218484249,115.10460213085362,102.29633485846888,122.00191918930186,92.99645585183616,71.54415168556797,85.27686147830416,69.2788836278519,154.55574510615605,7,2,9
