home_team,away_team,actual_total,minimum_line,sim_mean,hit_rate,cushion,hit_over
LMU (CA),Fla. Atlantic,141,125.5,137.25008775925167,64.02,11.75008775925167,True
UC Santa Barbara,Nobel,133,138.5,150.58011380269897,82.85,12.080113802698975,False
UTSA,Abilene Christian,111,140.5,152.40491694956242,67.88,11.90491694956242,False
UC Davis,Louisiana,133,136.0,148.10510075356652,82.5,12.105100753566518,False
Southern Ill.,Delaware,138,150.0,161.86895293749026,78.75,11.868952937490263,False
Maine,Brown,111,126.0,137.85466120163298,78.97,11.854661201632979,False
South Dakota,South Carolina St.,163,154.0,165.9404319611629,71.50999999999999,11.940431961162886,True
North Florida,Prairie View,167,155.5,167.4792265112674,77.85,11.979226511267399,True
Western Mich.,Mount St. Mary's,143,133.0,145.16092102159988,77.38000000000001,12.160921021599876,True
Charlotte,Shaw,162,135.0,147.14887176530684,72.57000000000001,12.148871765306836,True
Drexel,Old Dominion,146,142.5,154.58282254772215,77.52,12.082822547722145,True
Monmouth,Robert Morris,141,144.0,156.1534805745276,87.25,12.153480574527606,False
Xavier,West Virginia,146,140.0,151.783355458159,81.98,11.783355458159008,True
Georgia Tech,West Ga.,148,128.5,140.6192262507565,75.53,12.119226250756498,True
Miami (OH),Ark.-Pine Bluff,195,124.0,136.19554630094123,68.45,12.195546300941231,True
Oklahoma,Alcorn,125,154.0,165.82185572578464,75.03,11.821855725784644,False
Central Ark.,Eastern Wash.,157,124.0,136.0728606658857,78.77,12.072860665885713,True
Virginia,Butler,153,155.5,167.3055740418594,81.78999999999999,11.805574041859387,False
Jackson St.,Winthrop,142,151.0,162.7925349105339,83.66,11.792534910533902,False
UNC Greensboro,Youngstown St.,130,145.5,157.41435106477252,73.33,11.914351064772518,False
Duke,Howard,149,149.5,161.25080758200525,69.35,11.750807582005251,False
McNeese,George Washington,178,152.0,164.07115219388086,66.78,12.071152193880863,True
Air Force,IU Indy,183,158.5,170.64300804201955,75.22999999999999,12.143008042019545,True
Illinois St.,Coastal Carolina,136,147.5,159.49282669386665,67.17,11.992826693866647,False
