home_team,away_team,actual_total,maximum_line,sim_mean,under_hit_rate,cushion,under_won,margin,prediction_error,game_date
Southern Ill.,Delaware,138,168.10232192717447,156.10232192717447,80.62,30.102321927174472,True,30.102321927174472,-18.102321927174472,2025-11-23
Maine,Brown,111,152.1560544586389,140.1560544586389,83.12,41.15605445863889,True,41.15605445863889,-29.15605445863889,2025-11-23
Xavier,West Virginia,146,162.80784523825795,150.80784523825795,83.98,16.807845238257954,True,16.807845238257954,-4.807845238257954,2025-11-23
Jackson St.,Winthrop,142,170.2352763205354,158.2352763205354,81.2,28.235276320535405,True,28.235276320535405,-16.235276320535405,2025-11-23
South Carolina,Northwestern,156,170.75467353711642,158.75467353711642,80.46,14.754673537116417,True,14.754673537116417,-2.7546735371164175,2025-11-23
Col. of Charleston,Yale,137,179.94638462731643,167.94638462731643,82.0,42.946384627316434,True,42.946384627316434,-30.946384627316434,2025-11-23
Southern Miss.,UT Martin,130,155.79732273632564,143.79732273632564,80.52,25.79732273632564,True,25.79732273632564,-13.79732273632564,2025-11-23
Richmond,Gardner-Webb,169,161.01129706244097,149.01129706244097,83.36,-7.988702937559026,False,-7.988702937559026,19.988702937559026,2025-11-22
Saint Mary's (CA),UC Merced,138,156.76138167221288,144.76138167221288,80.36,18.761381672212877,True,18.761381672212877,-6.7613816722128774,2025-11-22
Nevada,UC Santa Barbara,141,173.19261058552377,161.19261058552377,83.5,32.19261058552377,True,32.19261058552377,-20.192610585523767,2025-11-22
Providence,Penn St.,142,177.65075693350425,165.65075693350425,81.62,35.650756933504255,True,35.650756933504255,-23.650756933504255,2025-11-22
Oklahoma St.,Nicholls,176,166.56289949790605,154.56289949790605,81.6,-9.437100502093955,False,-9.437100502093955,21.437100502093955,2025-11-22
Northeastern,Duquesne,179,167.47272023235493,155.47272023235493,82.66,-11.52727976764507,False,-11.52727976764507,23.52727976764507,2025-11-22
Oregon St.,Iona,175,171.34398480518857,159.34398480518857,83.52000000000001,-3.656015194811431,False,-3.656015194811431,15.656015194811431,2025-11-22
Massachusetts,Green Bay,154,167.89116314430578,155.89116314430578,81.02000000000001,13.891163144305779,True,13.891163144305779,-1.8911631443057786,2025-11-22
Colorado,UC Davis,174,170.52231953926946,158.52231953926946,86.64,-3.4776804607305394,False,-3.4776804607305394,15.47768046073054,2025-11-21
South Carolina,Butler,151,170.64395154412742,158.64395154412742,82.06,19.643951544127418,True,19.643951544127418,-7.643951544127418,2025-11-21
Col. of Charleston,Massachusetts,134,168.29047076038486,156.29047076038486,84.36,34.29047076038486,True,34.29047076038486,-22.290470760384864,2025-11-21
Wisconsin,BYU,168,174.75609059707196,162.75609059707196,80.10000000000001,6.75609059707196,True,6.75609059707196,5.24390940292804,2025-11-21
Clemson,West Virginia,137,164.0561156569073,152.0561156569073,87.44,27.05611565690731,True,27.05611565690731,-15.05611565690731,2025-11-21
Michigan St.,Detroit Mercy,140,168.62904761426617,156.62904761426617,82.52000000000001,28.62904761426617,True,28.62904761426617,-16.62904761426617,2025-11-21
Akron,Iona,171,177.2378046972882,165.2378046972882,80.30000000000001,6.2378046972881975,True,6.2378046972881975,5.7621953027118025,2025-11-21
New Mexico,Mississippi St.,158,167.24854875002404,155.24854875002404,91.86,9.248548750024042,True,9.248548750024042,2.7514512499759576,2025-11-21
St. Thomas (MN),Northern Colo.,145,158.07447470841194,146.07447470841194,82.02000000000001,13.074474708411941,True,13.074474708411941,-1.074474708411941,2025-11-21
Oregon St.,Evansville,142,167.3621679579261,155.3621679579261,80.66,25.36216795792609,True,25.36216795792609,-13.36216795792609,2025-11-21
Belmont,Fisk,145,157.21631272466314,145.21631272466314,81.2,12.21631272466314,True,12.21631272466314,-0.21631272466314044,2025-11-21
LSU,Omaha,172,178.40519415551177,166.40519415551177,85.94000000000001,6.405194155511765,True,6.405194155511765,5.594805844488235,2025-11-21
Stanford,Seattle U,146,163.53566370786032,151.53566370786032,83.98,17.535663707860323,True,17.535663707860323,-5.535663707860323,2025-11-21
Santa Clara,Louisiana,123,168.68759027862825,156.68759027862825,83.34,45.68759027862825,True,45.68759027862825,-33.68759027862825,2025-11-21
Colorado St.,Denver,164,182.38701094478802,170.38701094478802,81.17999999999999,18.387010944788017,True,18.387010944788017,-6.387010944788017,2025-11-21
Memphis,Wake Forest,137,165.90490954042346,153.90490954042346,83.46000000000001,28.90490954042346,True,28.90490954042346,-16.90490954042346,2025-11-21
Fresno St.,New Orleans,161,167.59981033925428,155.59981033925428,80.78,6.599810339254276,True,6.599810339254276,5.400189660745724,2025-11-21
